#Beta_peaks Enhancers
#Created from /project/NeuralNet/CRC/ROSE/2.rose_Beta_narrow.05_broad.1_incltss/Beta_peaks_12KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by Beta_H3K27ac.bam
#Using cutoff of 13012.3095 for Super-Enhancers
#Created on Oct 24 2022 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	Beta_H3K27ac.bam	enhancerRank	isSuper
21_Beta_peak_12404_lociStitched	chr16	46386031	46435529	21	17736	616220.4012	1	1
5_Beta_peak_1948_lociStitched	chr1	121458818	121485538	5	3449	480871.824	2	1
39_Beta_peak_34695_lociStitched	chr9_gl000199_random	30876	169007	39	21459	430941.0938	3	1
22_Beta_peak_25117_lociStitched	chr4	49093615	49157018	22	14243	419892.7078	4	1
17_Beta_peak_3941_lociStitched	chr10	42355279	42409601	17	11164	395404.4058	5	1
10_Beta_peak_16564_lociStitched	chr19	27731857	27764909	10	6062	374241.1856	6	1
16_Beta_peak_18856_lociStitched	chr2	92269021	92326047	16	15634	352466.3008	7	1
7_Beta_peak_34783_lociStitched	chrUn_gl000220	102631	120180	7	6572	282298.4787	8	1
7_Beta_peak_30503_lociStitched	chr7	61967355	62000791	7	5096	268741.85	9	1
9_Beta_peak_34791_lociStitched	chrUn_gl000220	148439	161675	9	6783	190836.648	10	1
8_Beta_peak_3945_lociStitched	chr10	42527331	42546354	8	5470	162595.2879	11	1
18_Beta_peak_15041_lociStitched	chr17_gl383561_fix	585498	644251	18	9641	160965.5941	12	1
9_Beta_peak_25123_lociStitched	chr4	49634401	49659989	9	5782	158218.2804	13	1
12_Beta_peak_5753_lociStitched	chr11	51568686	51593283	12	7036	140953.1085	14	1
9_Beta_peak_18828_lociStitched	chr2	89850323	89879551	9	6243	134118.5236	15	1
16_Beta_peak_34748_lociStitched	chrUn_gl000216	338	61012	16	8196	126481.0204	16	1
1_Beta_peak_28692_lociStitched	chr6	58776309	58779641	1	3333	119405.2188	17	1
5_Beta_peak_15321_lociStitched	chr18	18510990	18520253	5	4570	118047.672	18	1
9_Beta_peak_15128_lociStitched	chr17_ke332502_fix	70706	98713	9	5685	108420.6984	19	1
10_Beta_peak_32230_lociStitched	chr8	46839714	46868872	10	5851	105951.4246	20	1
3_Beta_peak_32204_lociStitched	chr8	43092762	43097006	3	2854	91902.9712	21	1
17_Beta_peak_15144_lociStitched	chr17_ke332502_fix	244165	317856	17	7643	84641.4826	22	1
10_Beta_peak_32213_lociStitched	chr8	43821665	43838723	10	4395	83778.6612	23	1
16_Beta_peak_15029_lociStitched	chr17_gl383561_fix	505508	558845	16	7207	62980.3296	24	1
4_Beta_peak_35183_lociStitched	chrX	58561173	58581209	4	2946	56271.106	25	1
13_Beta_peak_22462_lociStitched	chr22	46402580	46468458	13	9113	53209.6606	26	1
10_Beta_peak_3923_lociStitched	chr10	39076740	39129994	10	3970	51395.4354	27	1
17_Beta_peak_27256_lociStitched	chr5	139017120	139091495	17	9784	50024.625	28	1
9_Beta_peak_6024_lociStitched	chr11	65238382	65268252	9	6190	46468.759	29	1
8_Beta_peak_35196_lociStitched	chrX	61711053	61746111	8	3744	45014.472	30	1
6_Beta_peak_13649_lociStitched	chr17	22244834	22261839	6	4143	44481.679	31	1
15_Beta_peak_15930_lociStitched	chr19	3335809	3405197	15	9741	42965.0496	32	1
11_Beta_peak_747_lociStitched	chr1	27844618	27902297	11	6199	42815.1217	33	1
11_Beta_peak_15816_lociStitched	chr19	1237548	1276329	11	6894	42469.0731	34	1
7_Beta_peak_5507_lociStitched	chr11	31820080	31849167	7	4388	37816.0087	35	1
13_Beta_peak_15787_lociStitched	chr19	892895	955772	13	8361	32689.7523	36	1
10_Beta_peak_34767_lociStitched	chrUn_gl000216	136570	170124	10	5425	32664.819	37	1
12_Beta_peak_34485_lociStitched	chr9	135988609	136025422	12	7244	32056.7604	38	1
9_Beta_peak_4992_lociStitched	chr10	134209762	134243456	9	4675	31790.289	39	1
10_Beta_peak_16263_lociStitched	chr19	12885971	12913003	10	5436	30475.8768	40	1
8_Beta_peak_28557_lociStitched	chr6	44186954	44233304	8	6593	29969.91	41	1
9_Beta_peak_34286_lociStitched	chr9	130298558	130341995	9	6405	29893.3434	42	1
8_Beta_peak_12378_lociStitched	chr16	33865279	33901936	8	4214	29233.9575	43	1
3_Beta_peak_26103_lociStitched	chr4_gl383529_alt	3878	20618	3	3363	28908.306	44	1
14_Beta_peak_12746_lociStitched	chr16	70719312	70781775	14	7763	28695.5022	45	1
7_Beta_peak_22586_lociStitched	chr22_jh806585_fix	3538	29231	7	2873	28449.8589	46	1
12_Beta_peak_11492_lociStitched	chr15	90691898	90755174	12	7956	28195.7856	47	1
